name,rtg,oil_water,fish_type,country,brand,salt,sugar,sauce,boneless,skinless,pieces,size_g,size_oz,smoked,grilled,citrus,garlic,chili_pepper,tomato,dairy,gluten,organic,kosher_cert,servings,sodium_per_serving,rda_sodium
Porto-Muiños Mussels with Sweet Kombu in Salsa Brava,16,Extra Virgin Olive Oil,mussels,Spain,Porto-Muiños ,Yes,No,"Salsa Brava, Kombu",,,Unstated,120,4.2,No,No,No,No,Yes,Yes,No,No,No,None,1,920,40
Porto-Muiños Razor Clams with Sea Spaghetti and Garlic,22,Extra Virgin Olive Oil,razor clam,Spain,Porto-Muiños ,Yes,No,"Garlic, Sea Spaghetti",,,Unstated,90,3.2,No,No,No,Yes,No,No,No,No,No,None,1,330,14
Portomar Smoked Mussels in Olive Oil 8/12,11.5,Olive Oil,mussels,Spain,Porthomar,Yes,No,Smoke flavor,,,8/12,115,4.0,Yes,No,No,No,No,No,No,No,No,None,1,230,10
Portomar Small Sardines in Olive Oil 10/14,7.5,Olive Oil,sardines,Spain,Portomar,Yes,No,None,No,No,10/14,115,4.0,No,No,No,No,No,No,No,No,No,None,1,330,14
Portomar Cockles in Brine 50/60,14.5,Water,cockles,Spain,Portomar,Yes,No,None,,,50-60,111,3.9,No,No,No,No,No,No,No,No,No,None,1,390,16
Portomar Mussels in Escabeche 8/12,8,Olive Oil,mussels,Spain,Portomar,Yes,No,Escabeche,,,8/12,111,3.9,No,No,No,No,No,No,No,No,No,None,1,296,12
Portomar Octopus in Olive Oil,12,Olive Oil,octopus,Spain,Portomar,Yes,No,None,,,Unstated,111,3.9,No,No,No,No,No,No,No,No,No,None,1,440,18
Portomar Razor Clams in Brine 4/6,19,Water,razor clam,Spain,Portomar,Yes,No,None,,,4/6,111,3.9,No,No,No,No,No,No,No,No,No,None,1,270,11
Portomar Stuffed Baby Squid in American Sauce,10,Sunflower Oil,squid,Spain,Portomar,Yes,No,Tomato,,,Unstated,115,4.0,No,No,No,No,No,Yes,No,No,No,None,1,360,15
Premium Food L Armenia Trout in Water,8,Water,trout,Armenia,Eco Food Armenia,Yes,No,None,,,Unstated,240,8.46,No,No,No,No,No,No,No,No,No,None,?,?,
PYSCIS Conserves Blue Mussels with Garlic and Chili 12/16,25,Olive Oil,mussels,Spain,PYSCIS,Yes,No,"Chili, Garlic",,,,110,,No,No,No,Yes,Yes,No,No,No,No,None,,,
"PYSCIS Conserves Razor Clams in Olive Oil 6/8, 2021",36,Olive Oil,razor clam,Spain,PYSCIS,Yes,No,None,,,6/8,110,4.0,No,No,No,No,No,No,No,No,No,None,,,
"PYSCIS Conserves Sardines Royale 10/15, 2018",25,Olive Oil,sardines,Spain,PYSCIS,Yes,No,None,No,No,10/15,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
PYSCIS Conserves Smoked Baltic Gold Sprats,24.5,Rapeseed Oil,sprats,Spain,PYSCIS,Yes,No,Mustard,No,No,Unstated,160,,Yes,No,No,No,No,No,No,No,No,None,,,
"PYSCIS Conserves Young Bullet Tuna Filets in Olive Oil, 2021",26,Olive Oil,tuna,Spain,PYSCIS,Yes,No,None,,,,120,4.2,No,No,No,No,No,No,No,No,No,None,,,
"Ramón Peña Boneless & Skinless Sardine Fillets in Olive Oil, Gold Line",24,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,None,Yes,Yes,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,8
"Ramón Peña Bonito Del Norte (Albacore) in Olive Oil, Silver Line",10.75,Olive Oil,tuna,Spain,Ramón Peña,Yes,No,None,,,,115,4.0,No,No,No,No,No,No,No,No,No,None,2,530,22
"Ramón Peña Clams in Brine 18/20, Gold Line",47.5,Water,clams,Spain,Ramón Peña,Yes,No,None,,,18/20,111,4.0,No,No,No,No,No,No,No,No,No,None,?,?,?
"Ramón Peña Cockles in Brine, 30/35 (Big), Gold Line",36,None,cockles,Spain,Ramón Peña,Yes,No,None,,,Unstated,113,4.0,No,No,No,No,No,No,No,No,No,None,2,280,12
"Ramón Peña Fried Small Sardines Stewed in Sauce (Fritas Guisadas ""Xoubas""), Gold Line",11,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",No,No,Unstated,130,4.6,No,No,No,No,No,Yes,No,Yes,No,None,2,320,13
"Ramón Peña Garfish in Olive Oil, Gold Line",16,Olive Oil,garfish,Spain,Ramón Peña,Yes,No,None,No,No,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,7
Ramón Peña Mackerel Fillets in Olive Oil,9.5,Olive Oil,mackerel,Spain,Ramón Peña,Yes,No,None,Yes,Yes,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,None,1,267,12
"Ramón Peña Mackerel Fillets in Smoked Olive Oil, Silver Line",10,Olive Oil,mackerel,Spain,Ramón Peña,Yes,No,None,Yes,Yes,Unstated,115,4.0,Yes,No,No,No,No,No,No,No,No,None,1,180,8
"Ramón Peña Mackerel Fillets with Lemon, Silver Line",10,Olive Oil,mackerel,Spain,Ramón Peña,Yes,No,Lemon,Yes,Yes,Unstated,115,4.0,No,No,Yes,No,No,No,No,No,No,None,1,221,9
